 -,1981,1981,1991,1991,2001,2001,2011*,2011*
Indicators,Male,Female,Male,Female,Male,Female,Male,Female
Urban,61.1,38.2,80,51.2,81.2,61.9,89,75.2
Rural,32,10.3,54.2,20.4,62.6,39.6,72,53.8
Nepal,34,12,54.1,24.7,65.5,42.8,75.1,57.4
