Place of residence,Adolescents,Adolescents,Youth,Youth,Young,Young
 -,Number,%,Number,%,Number,%
Urban Area,1028332,16.1,1041260,19.7,1548878,17.7
Rural Area,5379072,83.9,4248791,80.3,7216597,82.3
Total,6407404,100,5290051,100,8765475,100
