Area,Adolescents,Adolescents,Youth,Youth,Young,Young
 -,Number,Percentage,Number,Percentage,Number,Percentage
Rural,5379072,24.48,4248791,19.34,7216597,32.85
Urban,1028332,22.73,1041260,23.02,1548878,34.24
Nepal,6407404,24.18,5290051,19.97,8765475,33.08
