Language Families,1991,1991,2001,2001
 -,Rural,Urban,Rural,Urban
Indo-European,91.99,8.01,87,13
Sino-Tibetan,84.87,15.22,82,18
Austro-Asiatic,97.97,2.1,96.3,3.7
Dravidian,-,-,95.28,4.72
Not stated/Unknown,93.05,6.95,83.89,16.11
