MUNICIPALITIES ,DISTRICT ,POPULATION
Sidhhicharan,Okhaldhunga,28374
Panchadeval Binayak,Achham,27485
Chaurjahari,Rukum,27438
Chainpur,Sankhuwasabha,27308
Bhojpur,Bhojpur,27204
Narayan,Dailekh,27037
Sundarbazar,Lamjung,26861
Barhabise,Sindhupalchowk,26700
Phungling,Taplejung,26406
Dhorpatan,Baglung,26215
Chamunda Bindrasaini,Dailekh,26149
Chapakot,Syanja,26042
Triveni Nalgad,Jajarkot,25597
Bheerkot,Syanja,25583
Shankharapur,Kathmandu,25338
Mahalaxmi,Dhankuta,24800
Phalebas,Parbat,24687
Daxinkaali,Kathmandu,24296
Kamalbazar,Achham,23738
Madhya Nepal,Lamjung,23385
Melaili,Baitadi,22545
Jaya Prithvi,Bajhang,22191
Pakhribas,Dhankuta,22078
Sailya Shikhar,Darchula,22060
Budhiganga,Bajura,21677
Aamargadhi,Dadeldhura,21245
Mahakali,Darchula,21231
Solududhkunda,Solukhumbu,20399
Khadachakra,Kalikot,20288
Chayanath Rara,Mugu,20078
Myanglung,Terathum,19659
Chandannath,Jumla,19047
Budhinanda,Bajura,18776
Rainas,Lamjung,18527
Triveni,Bajura,18363
Dharmadevi,Sankhuwasabha,18235
Panchkhapan,Sankhuwasabha,17521
Laligurans,Terathum,16970
Badimalika,Bajura,16818
Raskot,Kalikot,16272
Tilagufa,Kalikot,15766
Jiri,Dolakha,15515
Madi,Sankhuwasabha,14470
Tripura Sundari,Dolpa,10104
Thuli Bheri,Dolpa,8370
